tipo_entidad,nombre_tipo_entidad,codigo_entidad,nombre_entidad,fecha_corte,cod_clase,cod_grupo,cod_cuenta,subcuenta,nombre_cuenta_puc,signo_valor,moneda_total_0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,1,5,5,EFECTIVO,+,755064350080.25
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,0,0,0,ACTIVO,+,28850578747480.3
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,1,0,0,EFECTIVO,+,1636466983663.64
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,1,5,0,CAJA,+,755067550080.25
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,1,5,20,CAJA MENOR,+,3200000.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,1,10,0,BANCO DE LA REPÚBLICA,+,518267573598.73
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,1,10,5,CUENTA CORRIENTE BANCARIA,+,518267573598.73
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,1,15,0,BANCOS Y OTRAS ENTIDADES FINANCIERAS,+,362947779418.45
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,1,15,5,BANCOS NACIONALES,+,325831975.69
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,1,15,15,CORRESPONSALES,+,362621947442.76
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,1,20,0,CANJE,+,175783967.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,1,30,0,REMESAS EN TRÁNSITO,+,8296599.21
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,1,30,5,CHEQUES PAÍS,+,2000000.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,1,30,10,CHEQUES SOBRE EL EXTERIOR,+,6296599.21
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,2,0,0,OPERACIONES DEL MERCADO MONETARIO Y RELACIONADAS,+,632561651759.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,2,10,0,FONDOS INTERBANCARIOS VENDIDOS ORDINARIOS,+,63504641867.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,2,10,5,BANCOS,+,48504641867.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,2,10,95,OTRAS ENTIDADES FINANCIERAS,+,15000000000.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,2,20,0,OPERACIONES SIMULTÁNEAS,+,569057009892.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,2,20,5,COMPROMISOS DE TRANSFERENCIA DE INVERSIONES EN OPERACIONES SIMULTÁNEAS,+,569057009892.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,3,0,0,INVERSIONES Y OPERACIONES CON DERIVADOS,+,4752975613223.4
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,3,1,0,INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS - INSTRUMENTOS REPRESENTATIVOS DE DEUDA,+,125589134000.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,3,1,5,TÍTULOS DE TESORERÍA ¿TES,+,17273120000.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,3,1,15,OTROS EMISORES NACIONALES,+,108316014000.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,3,2,0,INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS - INSTRUMENTOS DE PATRIMONIO,+,95078751037.75
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,3,2,5,EMISORES NACIONALES,+,95078751037.75
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,3,3,0,INVERSIONES A COSTO AMORTIZADO,+,1014491266105.42
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,3,3,5,TITULOS DE TESORERÍA - TES,+,39518717059.67
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,3,3,10,OTROS TÍTULOS EMITIDOS POR EL GOBIERNO NACIONAL,+,974972549045.75
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,3,4,0,INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN EL ORI - INSTRUMENTOS DE PATRIMONIO,+,130725976016.28
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,3,4,5,EMISORES NACIONALES,+,130592116425.24
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,3,4,10,EMISORES EXTRANJEROS,+,133859591.04
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,3,15,0,INVERSIONES EN SUBSIDIARIAS Y FILIALES,+,119335676466.69
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,3,15,5,SUBSIDIARIAS Y FILIALES NACIONALES,+,119335676466.69
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,3,16,0,INVERSIONES EN ASOCIADAS,+,617505006178.3
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,3,16,5,ASOCIADAS NACIONALES,+,617505006178.3
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,3,17,0,INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN EL ORI - INSTRUMENTOS REPRESENTATIVOS DE DEUDA,+,2637539864071.29
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,3,17,5,TÍTULOS DE TESORERÍA ¿TES,+,2509702160429.29
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,3,17,10,OTROS TÍTULOS DE DEUDA PÚBLICA,+,127837703642.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,3,20,0,INVERSIONES EN ACUERDOS CONJUNTOS,+,1442662418.1
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,3,20,5,NEGOCIOS CONJUNTOS NACIONALES,+,1442662418.1
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,3,51,0,OPERACIONES DE CONTADO,+,51250850.55
